2015-07-10 20:04:07 status half-installed base-files:armhf 8+deb8u1
2015-07-10 20:04:07 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:04:07 status unpacked base-files:armhf 8+deb8u1
2015-07-10 20:04:07 upgrade base-passwd:armhf 3.5.37 3.5.37
2015-07-10 20:04:07 status half-configured base-passwd:armhf 3.5.37
2015-07-10 20:04:07 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:04:07 status half-installed base-passwd:armhf 3.5.37
2015-07-10 20:04:07 status half-installed base-passwd:armhf 3.5.37
2015-07-10 20:04:08 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:04:08 status unpacked base-passwd:armhf 3.5.37
2015-07-10 20:04:08 install bash:armhf <none> 4.3-11+b1
2015-07-10 20:04:08 status half-installed bash:armhf 4.3-11+b1
2015-07-10 20:04:09 status unpacked bash:armhf 4.3-11+b1
2015-07-10 20:04:09 status unpacked bash:armhf 4.3-11+b1
2015-07-10 20:04:09 install libbz2-1.0:armhf <none> 1.0.6-7+b3
2015-07-10 20:04:09 status half-installed libbz2-1.0:armhf 1.0.6-7+b3
2015-07-10 20:04:09 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2015-07-10 20:04:09 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2015-07-10 20:04:09 install libdebconfclient0:armhf <none> 0.192
2015-07-10 20:04:09 status half-installed libdebconfclient0:armhf 0.192
2015-07-10 20:04:09 status unpacked libdebconfclient0:armhf 0.192
2015-07-10 20:04:09 status unpacked libdebconfclient0:armhf 0.192
2015-07-10 20:04:09 install coreutils:armhf <none> 8.23-4
2015-07-10 20:04:09 status half-installed coreutils:armhf 8.23-4
2015-07-10 20:04:12 status unpacked coreutils:armhf 8.23-4
2015-07-10 20:04:12 status unpacked coreutils:armhf 8.23-4
2015-07-10 20:04:12 install libcryptsetup4:armhf <none> 2:1.6.6-5
2015-07-10 20:04:12 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2015-07-10 20:04:12 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2015-07-10 20:04:12 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2015-07-10 20:04:12 install dash:armhf <none> 0.5.7-4+b1
2015-07-10 20:04:12 status half-installed dash:armhf 0.5.7-4+b1
2015-07-10 20:04:12 status unpacked dash:armhf 0.5.7-4+b1
2015-07-10 20:04:12 status unpacked dash:armhf 0.5.7-4+b1
2015-07-10 20:04:12 install libdb5.3:armhf <none> 5.3.28-9
2015-07-10 20:04:12 status half-installed libdb5.3:armhf 5.3.28-9
2015-07-10 20:04:13 status unpacked libdb5.3:armhf 5.3.28-9
2015-07-10 20:04:13 status unpacked libdb5.3:armhf 5.3.28-9
2015-07-10 20:04:13 install debconf:all <none> 1.5.56
2015-07-10 20:04:13 status half-installed debconf:all 1.5.56
2015-07-10 20:04:14 status unpacked debconf:all 1.5.56
2015-07-10 20:04:14 status unpacked debconf:all 1.5.56
2015-07-10 20:04:14 install debconf-i18n:all <none> 1.5.56
2015-07-10 20:04:14 status half-installed debconf-i18n:all 1.5.56
2015-07-10 20:04:14 status unpacked debconf-i18n:all 1.5.56
2015-07-10 20:04:14 status unpacked debconf-i18n:all 1.5.56
2015-07-10 20:04:15 install debianutils:armhf <none> 4.4+b1
2015-07-10 20:04:15 status half-installed debianutils:armhf 4.4+b1
2015-07-10 20:04:15 status unpacked debianutils:armhf 4.4+b1
2015-07-10 20:04:15 status unpacked debianutils:armhf 4.4+b1
2015-07-10 20:04:15 install diffutils:armhf <none> 1:3.3-1+b1
2015-07-10 20:04:15 status half-installed diffutils:armhf 1:3.3-1+b1
2015-07-10 20:04:16 status unpacked diffutils:armhf 1:3.3-1+b1
2015-07-10 20:04:16 status unpacked diffutils:armhf 1:3.3-1+b1
2015-07-10 20:04:16 upgrade dpkg:armhf 1.17.25 1.17.25
2015-07-10 20:04:16 status half-configured dpkg:armhf 1.17.25
2015-07-10 20:04:16 status unpacked dpkg:armhf 1.17.25
2015-07-10 20:04:16 status half-installed dpkg:armhf 1.17.25
2015-07-10 20:04:17 status half-installed dpkg:armhf 1.17.25
2015-07-10 20:04:17 status unpacked dpkg:armhf 1.17.25
2015-07-10 20:04:17 status unpacked dpkg:armhf 1.17.25
2015-07-10 20:04:17 install e2fslibs:armhf <none> 1.42.12-1.1
2015-07-10 20:04:17 status half-installed e2fslibs:armhf 1.42.12-1.1
2015-07-10 20:04:17 status unpacked e2fslibs:armhf 1.42.12-1.1
2015-07-10 20:04:17 status unpacked e2fslibs:armhf 1.42.12-1.1
2015-07-10 20:04:17 install e2fsprogs:armhf <none> 1.42.12-1.1
2015-07-10 20:04:17 status half-installed e2fsprogs:armhf 1.42.12-1.1
2015-07-10 20:04:18 status unpacked e2fsprogs:armhf 1.42.12-1.1
2015-07-10 20:04:18 status unpacked e2fsprogs:armhf 1.42.12-1.1
2015-07-10 20:04:18 install libcomerr2:armhf <none> 1.42.12-1.1
2015-07-10 20:04:18 status half-installed libcomerr2:armhf 1.42.12-1.1
2015-07-10 20:04:18 status unpacked libcomerr2:armhf 1.42.12-1.1
2015-07-10 20:04:18 status unpacked libcomerr2:armhf 1.42.12-1.1
2015-07-10 20:04:18 install libss2:armhf <none> 1.42.12-1.1
2015-07-10 20:04:18 status half-installed libss2:armhf 1.42.12-1.1
2015-07-10 20:04:18 status unpacked libss2:armhf 1.42.12-1.1
2015-07-10 20:04:18 status unpacked libss2:armhf 1.42.12-1.1
2015-07-10 20:04:18 install findutils:armhf <none> 4.4.2-9+b1
2015-07-10 20:04:18 status half-installed findutils:armhf 4.4.2-9+b1
2015-07-10 20:04:19 status unpacked findutils:armhf 4.4.2-9+b1
2015-07-10 20:04:19 status unpacked findutils:armhf 4.4.2-9+b1
2015-07-10 20:04:19 install gcc-4.8-base:armhf <none> 4.8.4-1
2015-07-10 20:04:19 status half-installed gcc-4.8-base:armhf 4.8.4-1
2015-07-10 20:04:19 status unpacked gcc-4.8-base:armhf 4.8.4-1
2015-07-10 20:04:19 status unpacked gcc-4.8-base:armhf 4.8.4-1
2015-07-10 20:04:19 install gcc-4.9-base:armhf <none> 4.9.2-10
2015-07-10 20:04:19 status half-installed gcc-4.9-base:armhf 4.9.2-10
2015-07-10 20:04:19 status unpacked gcc-4.9-base:armhf 4.9.2-10
2015-07-10 20:04:19 status unpacked gcc-4.9-base:armhf 4.9.2-10
2015-07-10 20:04:19 install libgcc1:armhf <none> 1:4.9.2-10
2015-07-10 20:04:19 status half-installed libgcc1:armhf 1:4.9.2-10
2015-07-10 20:04:19 status unpacked libgcc1:armhf 1:4.9.2-10
2015-07-10 20:04:19 status unpacked libgcc1:armhf 1:4.9.2-10
2015-07-10 20:04:19 install libc-bin:armhf <none> 2.19-18
2015-07-10 20:04:19 status half-installed libc-bin:armhf 2.19-18
2015-07-10 20:04:20 status unpacked libc-bin:armhf 2.19-18
2015-07-10 20:04:20 status unpacked libc-bin:armhf 2.19-18
2015-07-10 20:04:20 upgrade libc6:armhf 2.19-18 2.19-18
2015-07-10 20:04:20 status half-configured libc6:armhf 2.19-18
